Produto; Preço ;Tipo;Tecnologia;Família;IR
PR GOLD DESIGN IA 1.50; R$ 10.136 ;Progressivo;Incolor;Linha IA;1.50
PR GOLD DESIGN IA 1.50 BLUE; R$ 10.668 ;Progressivo;Bluecut;Linha IA;1.50
PR GOLD DESIGN IA 1.50 SENSE; R$ 9.348 ;Progressivo;Fotossensível;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS AMBAR; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS AMETHYST; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS BROWN; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS EMERALD; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS GREEN; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS RUBY; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS SAPPHIRE; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 11.788 ;Progressivo;Transitions;Linha IA;1.50
PR GOLD DESIGN IA 1.50 POLARIZADO CINZA; R$ 9.674 ;Progressivo;Polarizado;Linha IA;1.50
PR GOLD DESIGN IA 1.50 POLARIZADO G15; R$ 9.674 ;Progressivo;Polarizado;Linha IA;1.50
PR GOLD DESIGN IA 1.50 POLARIZADO MARROM; R$ 9.674 ;Progressivo;Polarizado;Linha IA;1.50
PR GOLD DESIGN IA 1.59; R$ 10.612 ;Progressivo;Incolor;Linha IA;1.59
PR GOLD DESIGN IA 1.59 BLUE; R$ 10.906 ;Progressivo;Bluecut;Linha IA;1.59
PR GOLD DESIGN IA 1.59 SENSE; R$ 11.550 ;Progressivo;Fotossensível;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS AMBAR; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS AMETHYST; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS BROWN; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS EMERALD; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS GREEN; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS RUBY; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS SAPPHIRE; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 11.724 ;Progressivo;Transitions;Linha IA;1.59
PR GOLD DESIGN IA 1.59 POLARIZADO CINZA; R$ 10.530 ;Progressivo;Polarizado;Linha IA;1.59
PR GOLD DESIGN IA 1.59 POLARIZADO G15; R$ 10.530 ;Progressivo;Polarizado;Linha IA;1.59
PR GOLD DESIGN IA 1.59 POLARIZADO MARROM; R$ 10.530 ;Progressivo;Polarizado;Linha IA;1.59
PR GOLD DESIGN IA 1.61; R$ 11.186 ;Progressivo;Incolor;Linha IA;1.61
PR GOLD DESIGN IA 1.61 BLUE; R$ 11.354 ;Progressivo;Bluecut;Linha IA;1.61
PR GOLD DESIGN IA 1.61 SENSE; R$ 11.900 ;Progressivo;Fotossensível;Linha IA;1.61
PR GOLD DESIGN IA 1.67; R$ 12.660 ;Progressivo;Incolor;Linha IA;1.67
PR GOLD DESIGN IA 1.67 BLUE; R$ 12.915 ;Progressivo;Bluecut;Linha IA;1.67
PR GOLD DESIGN IA 1.67 TRANSITIONS; R$ 14.535 ;Progressivo;Transitions;Linha IA;1.67
PR GOLD DESIGN IA 1.74; R$ 13.916 ;Progressivo;Incolor;Linha IA;1.74
PR GOLD DESIGN IA 1.74 BLUE; R$ 14.488 ;Progressivo;Bluecut;Linha IA;1.74
PR GOLD DESIGN IA 1.74 TRANSITIONS; R$ 16.024 ;Progressivo;Transitions;Linha IA;1.74
PR PREMIUM HD IA 1.50; R$ 6.563 ;Progressivo;Incolor;Linha IA;1.50
PR PREMIUM HD IA 1.50 BLUE; R$ 6.920 ;Progressivo;Bluecut;Linha IA;1.50
PR PREMIUM HD IA 1.50 SENSE; R$ 7.414 ;Progressivo;Fotossensível;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS AMBAR; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS AMETHYST; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS BROWN; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS EMERALD; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS GREEN; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS RUBY; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS SAPPHIRE; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 8.090 ;Progressivo;Transitions;Linha IA;1.50
PR PREMIUM HD IA 1.50 POLARIZADO CINZA; R$ 6.270 ;Progressivo;Polarizado;Linha IA;1.50
PR PREMIUM HD IA 1.50 POLARIZADO G15; R$ 6.270 ;Progressivo;Polarizado;Linha IA;1.50
PR PREMIUM HD IA 1.50 POLARIZADO MARROM; R$ 6.270 ;Progressivo;Polarizado;Linha IA;1.50
PR PREMIUM HD IA 1.59; R$ 6.888 ;Progressivo;Incolor;Linha IA;1.59
PR PREMIUM HD IA 1.59 BLUE; R$ 7.077 ;Progressivo;Bluecut;Linha IA;1.59
PR PREMIUM HD IA 1.59 SENSE; R$ 7.590 ;Progressivo;Fotossensível;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS AMBAR; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS AMETHYST; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS BROWN; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS EMERALD; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS GREEN; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS RUBY; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS SAPPHIRE; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 8.417 ;Progressivo;Transitions;Linha IA;1.59
PR PREMIUM HD IA 1.59 POLARIZADO CINZA; R$ 7.011 ;Progressivo;Polarizado;Linha IA;1.59
PR PREMIUM HD IA 1.59 POLARIZADO G15; R$ 7.011 ;Progressivo;Polarizado;Linha IA;1.59
PR PREMIUM HD IA 1.59 POLARIZADO MARROM; R$ 7.011 ;Progressivo;Polarizado;Linha IA;1.59
PR PREMIUM HD IA 1.61; R$ 8.064 ;Progressivo;Incolor;Linha IA;1.61
PR PREMIUM HD IA 1.61 BLUE; R$ 8.184 ;Progressivo;Bluecut;Linha IA;1.61
PR PREMIUM HD IA 1.61 SENSE; R$ 9.348 ;Progressivo;Fotossensível;Linha IA;1.61
PR PREMIUM HD IA 1.67; R$ 9.477 ;Progressivo;Incolor;Linha IA;1.67
PR PREMIUM HD IA 1.67 BLUE; R$ 9.802 ;Progressivo;Bluecut;Linha IA;1.67
PR PREMIUM HD IA 1.67 TRANSITIONS; R$ 11.130 ;Progressivo;Transitions;Linha IA;1.67
PR PREMIUM HD IA 1.74; R$ 11.556 ;Progressivo;Incolor;Linha IA;1.74
PR PREMIUM HD IA 1.74 BLUE; R$ 12.408 ;Progressivo;Bluecut;Linha IA;1.74
PR PREMIUM HD IA 1.74 TRANSITIONS; R$ 12.961 ;Progressivo;Transitions;Linha IA;1.74
PR TECNO LINE IA 1.50; R$ 5.975 ;Progressivo;Incolor;Linha IA;1.50
PR TECNO LINE IA 1.50 BLUE; R$ 6.321 ;Progressivo;Bluecut;Linha IA;1.50
PR TECNO LINE IA 1.50 SENSE; R$ 6.479 ;Progressivo;Fotossensível;Linha IA;1.50
PR TECNO LINE IA 1.50 TRANSITIONS; R$ 7.900 ;Progressivo;Transitions;Linha IA;1.50
PR TECNO LINE IA 1.50 TRANSITIONS AMBAR; R$ 7.900 ;Progressivo;Transitions;Linha IA;1.50
PR TECNO LINE IA 1.50 TRANSITIONS AMETHYST; R$ 7.900 ;Progressivo;Transitions;Linha IA;1.50
PR TECNO LINE IA 1.50 TRANSITIONS BROWN; R$ 7.900 ;Progressivo;Transitions;Linha IA;1.50
PR TECNO LINE IA 1.50 TRANSITIONS EMERALD; R$ 7.900 ;Progressivo;Transitions;Linha IA;1.50
PR TECNO LINE IA 1.50 TRANSITIONS GREEN; R$ 7.900 ;Progressivo;Transitions;Linha IA;1.50
PR TECNO LINE IA 1.50 TRANSITIONS RUBY; R$ 7.900 ;Progressivo;Transitions;Linha IA;1.50
PR TECNO LINE IA 1.50 TRANSITIONS SAPPHIRE; R$ 7.900 ;Progressivo;Transitions;Linha IA;1.50
PR TECNO LINE IA 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 7.900 ;Progressivo;Transitions;Linha IA;1.50
PR TECNO LINE IA 1.50 POLARIZADO CINZA; R$ 5.862 ;Progressivo;Polarizado;Linha IA;1.50
PR TECNO LINE IA 1.50 POLARIZADO G15; R$ 5.862 ;Progressivo;Polarizado;Linha IA;1.50
PR TECNO LINE IA 1.50 POLARIZADO MARROM; R$ 5.862 ;Progressivo;Polarizado;Linha IA;1.50
PR TECNO LINE IA 1.59; R$ 6.589 ;Progressivo;Incolor;Linha IA;1.59
PR TECNO LINE IA 1.59 BLUE; R$ 6.787 ;Progressivo;Bluecut;Linha IA;1.59
PR TECNO LINE IA 1.59 SENSE; R$ 7.380 ;Progressivo;Fotossensível;Linha IA;1.59
PR TECNO LINE IA 1.59 TRANSITIONS; R$ 8.142 ;Progressivo;Transitions;Linha IA;1.59
PR TECNO LINE IA 1.59 TRANSITIONS AMBAR; R$ 8.142 ;Progressivo;Transitions;Linha IA;1.59
PR TECNO LINE IA 1.59 TRANSITIONS AMETHYST; R$ 8.142 ;Progressivo;Transitions;Linha IA;1.59
PR TECNO LINE IA 1.59 TRANSITIONS BROWN; R$ 8.142 ;Progressivo;Transitions;Linha IA;1.59
PR TECNO LINE IA 1.59 TRANSITIONS EMERALD; R$ 8.142 ;Progressivo;Transitions;Linha IA;1.59
PR TECNO LINE IA 1.59 TRANSITIONS GREEN; R$ 8.142 ;Progressivo;Transitions;Linha IA;1.59
PR TECNO LINE IA 1.59 TRANSITIONS RUBY; R$ 8.142 ;Progressivo;Transitions;Linha IA;1.59
PR TECNO LINE IA 1.59 TRANSITIONS SAPPHIRE; R$ 8.142 ;Progressivo;Transitions;Linha IA;1.59
PR TECNO LINE IA 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 8.142 ;Progressivo;Transitions;Linha IA;1.59
PR TECNO LINE IA 1.59 POLARIZADO CINZA; R$ 6.231 ;Progressivo;Polarizado;Linha IA;1.59
PR TECNO LINE IA 1.59 POLARIZADO G15; R$ 6.231 ;Progressivo;Polarizado;Linha IA;1.59
PR TECNO LINE IA 1.59 POLARIZADO MARROM; R$ 6.231 ;Progressivo;Polarizado;Linha IA;1.59
PR TECNO LINE IA 1.61; R$ 6.853 ;Progressivo;Incolor;Linha IA;1.61
PR TECNO LINE IA 1.61 BLUE; R$ 6.963 ;Progressivo;Bluecut;Linha IA;1.61
PR TECNO LINE IA 1.61 SENSE; R$ 8.019 ;Progressivo;Fotossensível;Linha IA;1.61
PR TECNO LINE IA 1.67; R$ 9.492 ;Progressivo;Incolor;Linha IA;1.67
PR TECNO LINE IA 1.67 BLUE; R$ 9.842 ;Progressivo;Bluecut;Linha IA;1.67
PR TECNO LINE IA 1.67 TRANSITIONS; R$ 11.190 ;Progressivo;Transitions;Linha IA;1.67
PR TECNO LINE IA 1.74; R$ 10.956 ;Progressivo;Incolor;Linha IA;1.74
PR TECNO LINE IA 1.74 BLUE; R$ 11.803 ;Progressivo;Bluecut;Linha IA;1.74
PR TECNO LINE IA 1.74 TRANSITIONS; R$ 12.825 ;Progressivo;Transitions;Linha IA;1.74
PR GOLD DESIGN 1.50; R$ 4.525 ;Progressivo;Incolor;Linha Tradicional;1.50
PR GOLD DESIGN 1.56 BLUE; R$ 4.693 ;Progressivo;Bluecut;Linha Tradicional;1.56
PR GOLD DESIGN 1.50 PHOTO; R$ 5.645 ;Progressivo;Fotossensível;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 TRANSITIONS; R$ 6.109 ;Progressivo;Transitions;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 TRANSITIONS AMBAR; R$ 6.109 ;Progressivo;Transitions;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 TRANSITIONS AMETHYST; R$ 6.109 ;Progressivo;Transitions;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 TRANSITIONS BROWN; R$ 6.109 ;Progressivo;Transitions;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 TRANSITIONS EMERALD; R$ 6.109 ;Progressivo;Transitions;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 TRANSITIONS GREEN; R$ 6.109 ;Progressivo;Transitions;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 TRANSITIONS RUBY; R$ 6.109 ;Progressivo;Transitions;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 TRANSITIONS SAPPHIRE; R$ 6.109 ;Progressivo;Transitions;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 6.109 ;Progressivo;Transitions;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 POLARIZADO CINZA; R$ 4.104 ;Progressivo;Polarizado;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 POLARIZADO G15; R$ 4.104 ;Progressivo;Polarizado;Linha Tradicional;1.50
PR GOLD DESIGN 1.50 POLARIZADO MARROM; R$ 4.104 ;Progressivo;Polarizado;Linha Tradicional;1.50
PR GOLD DESIGN POLY; R$ 4.973 ;Progressivo;Incolor;Linha Tradicional;1.59
PR GOLD DESIGN POLY BLUE; R$ 5.029 ;Progressivo;Bluecut;Linha Tradicional;1.59
PR GOLD DESIGN POLY PHOTO; R$ 6.326 ;Progressivo;Fotossensível;Linha Tradicional;1.59
PR GOLD DESIGN POLY TRANSITIONS; R$ 6.545 ;Progressivo;Transitions;Linha Tradicional;1.59
PR GOLD DESIGN 1.59 TRANSITIONS AMBAR; R$ 6.545 ;Progressivo;Transitions;Linha Tradicional;1.59
PR GOLD DESIGN 1.59 TRANSITIONS AMETHYST; R$ 6.545 ;Progressivo;Transitions;Linha Tradicional;1.59
PR GOLD DESIGN 1.59 TRANSITIONS BROWN; R$ 6.545 ;Progressivo;Transitions;Linha Tradicional;1.59
PR GOLD DESIGN 1.59 TRANSITIONS EMERALD; R$ 6.545 ;Progressivo;Transitions;Linha Tradicional;1.59
PR GOLD DESIGN 1.59 TRANSITIONS GREEN; R$ 6.545 ;Progressivo;Transitions;Linha Tradicional;1.59
PR GOLD DESIGN 1.59 TRANSITIONS RUBY; R$ 6.545 ;Progressivo;Transitions;Linha Tradicional;1.59
PR GOLD DESIGN 1.59 TRANSITIONS SAPPHIRE; R$ 6.545 ;Progressivo;Transitions;Linha Tradicional;1.59
PR GOLD DESIGN 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 6.545 ;Progressivo;Transitions;Linha Tradicional;1.59
PR GOLD DESIGN POLY POLARIZADO CINZA; R$ 4.955 ;Progressivo;Polarizado;Linha Tradicional;1.59
PR GOLD DESIGN POLY POLARIZADO G15; R$ 4.955 ;Progressivo;Polarizado;Linha Tradicional;1.59
PR GOLD DESIGN POLY POLARIZADO MARROM; R$ 4.955 ;Progressivo;Polarizado;Linha Tradicional;1.59
PR GOLD DESIGN 1.61; R$ 4.683 ;Progressivo;Incolor;Linha Tradicional;1.61
PR GOLD DESIGN 1.61 BLUE; R$ 5.072 ;Progressivo;Bluecut;Linha Tradicional;1.61
PR GOLD DESIGN 1.61 PHOTO; R$ 7.035 ;Progressivo;Fotossensível;Linha Tradicional;1.61
PR GOLD DESIGN 1.67; R$ 7.694 ;Progressivo;Incolor;Linha Tradicional;1.67
PR GOLD DESIGN 1.67 BLUE; R$ 7.798 ;Progressivo;Bluecut;Linha Tradicional;1.67
PR GOLD DESIGN 1.67 PHOTO; R$ 7.974 ;Progressivo;Fotossensível;Linha Tradicional;1.67
PR GOLD DESIGN 1.67 TRANSITIONS; R$ 9.112 ;Progressivo;Transitions;Linha Tradicional;1.67
PR GOLD DESIGN 1.74; R$ 9.273 ;Progressivo;Incolor;Linha Tradicional;1.74
PR GOLD DESIGN 1.74 BLUE; R$ 9.941 ;Progressivo;Bluecut;Linha Tradicional;1.74
PR GOLD DESIGN 1.74 TRANSITIONS; R$ 10.489 ;Progressivo;Transitions;Linha Tradicional;1.74
PR PREMIUM HD 1.50; R$ 2.523 ;Progressivo;Incolor;Linha Tradicional;1.50
PR PREMIUM HD 1.56 BLUE; R$ 2.860 ;Progressivo;Bluecut;Linha Tradicional;1.56
PR PREMIUM HD 1.50 PHOTO; R$ 3.713 ;Progressivo;Fotossensível;Linha Tradicional;1.50
PR PREMIUM HD 1.50 TRANSITIONS; R$ 3.658 ;Progressivo;Transitions;Linha Tradicional;1.50
PR PREMIUM HD 1.50 TRANSITIONS AMBAR; R$ 3.658 ;Progressivo;Transitions;Linha Tradicional;1.50
PR PREMIUM HD 1.50 TRANSITIONS AMETHYST; R$ 3.658 ;Progressivo;Transitions;Linha Tradicional;1.50
PR PREMIUM HD 1.50 TRANSITIONS BROWN; R$ 3.658 ;Progressivo;Transitions;Linha Tradicional;1.50
PR PREMIUM HD 1.50 TRANSITIONS EMERALD; R$ 3.658 ;Progressivo;Transitions;Linha Tradicional;1.50
PR PREMIUM HD 1.50 TRANSITIONS GREEN; R$ 3.658 ;Progressivo;Transitions;Linha Tradicional;1.50
PR PREMIUM HD 1.50 TRANSITIONS RUBY; R$ 3.658 ;Progressivo;Transitions;Linha Tradicional;1.50
PR PREMIUM HD 1.50 TRANSITIONS SAPPHIRE; R$ 3.658 ;Progressivo;Transitions;Linha Tradicional;1.50
PR PREMIUM HD 1.50 TRANSITIONS XTRACTIVE 2.0; R$ 3.658 ;Progressivo;Transitions;Linha Tradicional;1.50
PR PREMIUM HD 1.50 POLARIZADO CINZA; R$ 2.246 ;Progressivo;Polarizado;Linha Tradicional;1.50
PR PREMIUM HD 1.50 POLARIZADO G15; R$ 2.246 ;Progressivo;Polarizado;Linha Tradicional;1.50
PR PREMIUM HD 1.50 POLARIZADO MARROM; R$ 2.246 ;Progressivo;Polarizado;Linha Tradicional;1.50
PR PREMIUM HD POLY; R$ 3.024 ;Progressivo;Incolor;Linha Tradicional;1.59
PR PREMIUM HD POLY BLUE; R$ 3.084 ;Progressivo;Bluecut;Linha Tradicional;1.59
PR PREMIUM HD POLY PHOTO; R$ 3.090 ;Progressivo;Fotossensível;Linha Tradicional;1.59
PR PREMIUM HD POLY TRANSITIONS; R$ 4.020 ;Progressivo;Transitions;Linha Tradicional;1.59
PR PREMIUM HD 1.59 TRANSITIONS AMBAR; R$ 4.020 ;Progressivo;Transitions;Linha Tradicional;1.59
PR PREMIUM HD 1.59 TRANSITIONS AMETHYST; R$ 4.020 ;Progressivo;Transitions;Linha Tradicional;1.59
PR PREMIUM HD 1.59 TRANSITIONS BROWN; R$ 4.020 ;Progressivo;Transitions;Linha Tradicional;1.59
PR PREMIUM HD 1.59 TRANSITIONS EMERALD; R$ 4.020 ;Progressivo;Transitions;Linha Tradicional;1.59
PR PREMIUM HD 1.59 TRANSITIONS GREEN; R$ 4.020 ;Progressivo;Transitions;Linha Tradicional;1.59
PR PREMIUM HD 1.59 TRANSITIONS RUBY; R$ 4.020 ;Progressivo;Transitions;Linha Tradicional;1.59
PR PREMIUM HD 1.59 TRANSITIONS SAPPHIRE; R$ 4.020 ;Progressivo;Transitions;Linha Tradicional;1.59
PR PREMIUM HD 1.59 TRANSITIONS XTRACTIVE 2.0; R$ 4.020 ;Progressivo;Transitions;Linha Tradicional;1.59
PR PREMIUM HD POLY POLARIZADO CINZA; R$ 2.434 ;Progressivo;Polarizado;Linha Tradicional;1.59
PR PREMIUM HD POLY POLARIZADO G15; R$ 2.434 ;Progressivo;Polarizado;Linha Tradicional;1.59
PR PREMIUM HD POLY POLARIZADO MARROM; R$ 2.434 ;Progressivo;Polarizado;Linha Tradicional;1.59
